time, google_trend
2021-12-25,34
2021-12-26,33
2021-12-27,34
2021-12-28,36
2021-12-29,36
2021-12-30,34
2021-12-31,31
2022-01-01,34
2022-01-02,34
2022-01-03,36
2022-01-04,47
2022-01-05,32
2022-01-06,45
2022-01-07,57
2022-01-08,49
2022-01-09,45
2022-01-10,50
2022-01-11,45
2022-01-12,43
2022-01-13,32
2022-01-14,32
2022-01-15,35
2022-01-16,28
2022-01-17,30
2022-01-18,31
2022-01-19,31
2022-01-20,34
2022-01-21,66
2022-01-22,93
2022-01-23,66
2022-01-24,67
2022-01-25,52
2022-01-26,52
2022-01-27,46
2022-01-28,47
2022-01-29,45
2022-01-30,41
2022-01-31,43
2022-02-01,44
2022-02-02,41
2022-02-03,40
2022-02-04,45
2022-02-05,47
2022-02-06,38
2022-02-07,48
2022-02-08,47
2022-02-09,41
2022-02-10,35
2022-02-11,40
2022-02-12,35
2022-02-13,33
2022-02-14,35
2022-02-15,36
2022-02-16,33
2022-02-17,35
2022-02-18,37
2022-02-19,34
2022-02-20,37
2022-02-21,41
2022-02-22,45
2022-02-23,36
2022-02-24,72
2022-02-25,50
2022-02-26,36
2022-02-27,39
2022-02-28,48
2022-03-01,52
2022-03-02,47
2022-03-03,41
2022-03-04,40
2022-03-05,35
2022-03-06,33
2022-03-07,39
2022-03-08,35
2022-03-09,42
2022-03-10,38
2022-03-11,35
2022-03-12,30
2022-03-13,30
2022-03-14,34
2022-03-15,33
2022-03-16,34
2022-03-17,32
2022-03-18,33
2022-03-19,29
2022-03-20,28
2022-03-21,29
2022-03-22,33
2022-03-23,30
2022-03-24,32
2022-03-25,32
2022-03-26,28
2022-03-27,31
2022-03-28,39
2022-03-29,35
2022-03-30,33
2022-03-31,31
2022-04-01,31
2022-04-02,29
2022-04-03,27
2022-04-04,29
2022-04-05,28
2022-04-06,32
2022-04-07,31
2022-04-08,29
2022-04-09,27
2022-04-10,25
2022-04-11,34
2022-04-12,31
2022-04-13,30
2022-04-14,28
2022-04-15,27
2022-04-16,25
2022-04-17,24
2022-04-18,29
2022-04-19,27
2022-04-20,25
2022-04-21,27
2022-04-22,27
2022-04-23,24
2022-04-24,23
2022-04-25,30
2022-04-26,28
2022-04-27,28
2022-04-28,29
2022-04-29,27
2022-04-30,25
2022-05-01,27
2022-05-02,27
2022-05-03,26
2022-05-04,26
2022-05-05,31
2022-05-06,35
2022-05-07,27
2022-05-08,33
2022-05-09,59
2022-05-10,54
2022-05-11,65
2022-05-12,100
2022-05-13,69
2022-05-14,50
2022-05-15,47
2022-05-16,46
2022-05-17,41
2022-05-18,41
2022-05-19,38
2022-05-20,37
2022-05-21,32
2022-05-22,32
2022-05-23,36
2022-05-24,35
2022-05-25,32
2022-05-26,34
2022-05-27,33
2022-05-28,30
2022-05-29,27
2022-05-30,34
2022-05-31,34
2022-06-01,30
2022-06-02,30
2022-06-03,27
2022-06-04,24
2022-06-05,25
2022-06-06,29
2022-06-07,32
2022-06-08,29
2022-06-09,28
2022-06-10,28
